domain,url,page
iana.org,https://www.iana.org/assignments/as-numbers/as-numbers.xhtml,asn-explained.html
iana.org,https://www.iana.org/assignments/iana-ipv4-special-registry/iana-ipv4-special-registry.xhtml,ip-address-types.html
iana.org,https://www.iana.org/assignments/iana-ipv6-special-registry/iana-ipv6-special-registry.xhtml,ip-address-types.html
iana.org,https://www.iana.org/assignments/ipv4-address-space/ipv4-address-space.xhtml,ip-lookup-fields.html
iana.org,https://www.iana.org/assignments/ipv6-address-space/ipv6-address-space.xhtml,ip-lookup-fields.html
iana.org,https://www.iana.org/numbers,ipv4-ipv6-exhaustion-statistics.html
iana.org,https://www.iana.org/,why-ip-location-is-wrong.html
ripe.net,https://www.ripe.net/manage-ips-and-asns/asns,asn-explained.html
ripe.net,https://www.ripe.net/analyse/internet-measurements/routing-information-service-ris,bgp-explained.html
ripe.net,https://www.ripe.net/manage-ips-and-asns/,why-ip-location-is-wrong.html
ripe.net,https://www.ripe.net/manage-ips-and-asns/ipv4,ipv4-ipv6-exhaustion-statistics.html
arin.net,https://www.arin.net/resources/guide/asn/,asn-explained.html
arin.net,https://www.arin.net/resources/,why-ip-location-is-wrong.html
arin.net,https://www.arin.net/resources/guide/ipv4/,ipv4-ipv6-exhaustion-statistics.html
stat.ripe.net,https://stat.ripe.net/docs/data-api/ripestat-data-api,test_css\asn-lookup.html
stat.ripe.net,https://stat.ripe.net/docs/data-api/ripestat-data-api#api-endpoints,test_css\asn-lookup.html
spamhaus.org,https://www.spamhaus.org/,ip-blacklist-types.html
spamhaus.org,https://www.spamhaus.org/organization/datasets/,top-30-most-blocked-ip-ranges.html
abuse.ch,https://www.abuse.ch/,ip-abuse-reporting-guide.html
abuse.ch,https://abuse.ch/,ip-blacklist-types.html
datatracker.ietf.org,https://datatracker.ietf.org/doc/html/rfc791,ipv4-vs-ipv6-technical-comparison.html
datatracker.ietf.org,https://datatracker.ietf.org/doc/html/rfc8200,ipv4-vs-ipv6-technical-comparison.html
apnic.net,https://www.apnic.net/manage-ip/,ip-lookup-fields.html
apnic.net,https://www.apnic.net/about-apnic/corporate-documents/resource-guidelines/ipv4/,ipv4-ipv6-exhaustion-statistics.html
apps.apple.com,https://apps.apple.com/app/myipnow-ip-network-tools/id6763992136,test_css\why-whois-information-is-hidden.html
play.google.com,https://play.google.com/store/apps/details?id=net.myipnow.app,test_css\why-whois-information-is-hidden.html
chromewebstore.google.com,https://chromewebstore.google.com/detail/myipnow-ip-network-tool/ekiopmobgbbdhnogkoljmnnmclmofmpj,test_css\why-whois-information-is-hidden.html
addons.mozilla.org,https://addons.mozilla.org/en-US/firefox/addon/myipnow-ip-network-tools/,test_css\why-whois-information-is-hidden.html
staysafeonline.org,https://staysafeonline.org/,article_template.html
safety.google,https://safety.google/,article_template.html
microsoft.com,https://www.microsoft.com/en-us/safety/family-online-safety,article_template.html
cisa.gov,https://www.cisa.gov/topics/cybersecurity,article_template.html
us.norton.com,https://us.norton.com/blog,article_template.html
rfc-editor.org,https://www.rfc-editor.org/rfc/rfc4271,bgp-explained.html
bgp.he.net,https://bgp.he.net/,bgp-explained.html
static.cloudflareinsights.com,https://static.cloudflareinsights.com/beacon.min.js/v8c78df7c7c0f484497ecbca7046644da1771523124516,test_css\dns-lookup.html
get.surfshark.net,https://get.surfshark.net/SH4dY,pt\hide-my-ip\index.html
go.nordvpn.net,https://go.nordvpn.net/aff_c?offer_id=1002&aff_id=132402,pt\hide-my-ip\index.html
googleads.g.doubleclick.net,https://googleads.g.doubleclick.net/pagead/viewthroughconversion/17582870702/?random=1774483200110&amp;cv=11&amp;fst=1774483200110&amp;bg=ffffff&amp;guid=ON&amp;async=1&amp;en=gtag.config&amp;gtm=45be63i0v9230348003z89230393229za20gzb9230393229zd9230393229xec&amp;gcd=13l3l3l3l5l1&amp;dma=0&amp;tcfd=10000&amp;tag_exp=103116026~103200004~115616986~115938465~115938468~116024733~117484252&amp;u_w=412&amp;u_h=732&amp;url=https%3A%2F%2Fmyipnow.net%2F&amp;frm=0&amp;tiba=What%20Is%20My%20IP%20Address%3F%20Check%20Your%20Public%20IPv4%20%26%20IPv6%20Instantly%20%7C%20MyIPNow&amp;hn=www.googleadservices.com&amp;npa=0&amp;us_privacy=1---&amp;pscdl=noapi&amp;auid=1930204137.1774483200&amp;uaa=&amp;uab=&amp;uafvl=&amp;uamb=0&amp;uam=&amp;uap=&amp;uapv=&amp;uaw=0&amp;gpp_sid=-1&amp;data=event%3Dgtag.config&amp;rfmt=3&amp;fmt=4,pt\index.html
nginx.org,http://nginx.org/,index.nginx-debian.html
nginx.com,http://nginx.com/,index.nginx-debian.html
openspeedtest.com,https://openspeedtest.com,pt\internet-speed-test\index.html
icann.org,https://www.icann.org/resources/pages/whois-2012-02-25-en,ip-abuse-reporting-guide.html
sorbs.net,https://www.sorbs.net/,top-30-most-blocked-ip-ranges.html
support.google.com,https://support.google.com/transparencyreport/answer/7347829,ip-blacklist-types.html
stats.labs.apnic.net,https://stats.labs.apnic.net/ipv6,ipv4-ipv6-exhaustion-statistics.html
policies.google.com,https://policies.google.com/technologies/ads,privacy-policy.html
google.com,https://www.google.com/settings/ads,privacy-policy.html
developers.google.com,https://developers.google.com/speed/public-dns,public-dns-providers-comparison.html
cloudflare.com,https://www.cloudflare.com/learning/dns/what-is-1.1.1.1/,public-dns-providers-comparison.html
quad9.net,https://quad9.net/,public-dns-providers-comparison.html
opendns.com,https://www.opendns.com/,public-dns-providers-comparison.html
uceprotect.net,https://www.uceprotect.net/,top-30-most-blocked-ip-ranges.html
barracudacentral.org,https://www.barracudacentral.org/rbl,top-30-most-blocked-ip-ranges.html
abuseipdb.com,https://www.abuseipdb.com/,top-30-most-blocked-ip-ranges.html
10.0.0.1,http://10.0.0.1,router\10.0.0.1\index.html
10.11.12.1,http://10.11.12.1,router\10.11.12.1\index.html
192.168.0.1,http://192.168.0.1,router\192.168.0.1\index.html
192.168.0.100,http://192.168.0.100,router\192.168.0.100\index.html
192.168.0.254,http://192.168.0.254,router\192.168.0.254\index.html
192.168.1.1,http://192.168.1.1,router\192.168.1.1\index.html
192.168.1.11,http://192.168.1.11,router\192.168.1.11\index.html
192.168.1.2,http://192.168.1.2,router\192.168.1.2\index.html
192.168.1.250,http://192.168.1.250,router\192.168.1.250\index.html
192.168.1.254,http://192.168.1.254,router\192.168.1.254\index.html
192.168.10.1,http://192.168.10.1,router\192.168.10.1\index.html
192.168.100.1,http://192.168.100.1,router\192.168.100.1\index.html
192.168.11.1,http://192.168.11.1,router\192.168.11.1\index.html
192.168.12.1,http://192.168.12.1,router\192.168.12.1\index.html
192.168.188.1,http://192.168.188.1,router\192.168.188.1\index.html
192.168.2.1,http://192.168.2.1,router\192.168.2.1\index.html
192.168.223.1,http://192.168.223.1,router\192.168.223.1\index.html
192.168.254.254,http://192.168.254.254,router\192.168.254.254\index.html
192.168.4.1,http://192.168.4.1,router\192.168.4.1\index.html
192.168.7.1,http://192.168.7.1,router\192.168.7.1\index.html
192.168.8.1,http://192.168.8.1,router\192.168.8.1\index.html
